type,t,x,y,z,qx,qy,qz,qw
estimator,1716592596.764282,-2.462405,0.144535,0.009152,0.000214,0.000749,0.273313,0.961925
real,6.587000,-1.999975,-0.500000,0.008721,0.000010,0.000777,0.000172,1.000000
odom,6.621000,-2.038920,-0.428640,0.008724,0.000011,0.000778,0.000173,1.000000
estimator,1716592596.781580,-2.079177,-0.576436,0.008496,0.000007,0.000783,0.000241,1.000000
real,6.621000,-1.999975,-0.500000,0.008724,0.000011,0.000778,0.000173,1.000000
odom,6.655000,-1.932640,-0.460543,0.008723,0.000005,0.000776,0.000174,1.000000
estimator,1716592596.816208,-2.038920,-0.428640,0.008518,0.000007,0.000784,0.000173,1.000000
real,6.655000,-1.999975,-0.500000,0.008723,0.000005,0.000776,0.000174,1.000000
odom,6.689000,-2.066358,-0.505681,0.008722,0.000008,0.000777,0.000175,1.000000
estimator,1716592596.849749,-1.932640,-0.460543,0.008517,0.000001,0.000782,0.000174,1.000000
real,6.689000,-1.999975,-0.500000,0.008722,0.000008,0.000777,0.000175,1.000000
odom,6.723000,-1.968490,-0.578943,0.008717,0.000011,0.000776,0.000176,1.000000
estimator,1716592596.883951,-2.066358,-0.505681,0.008517,0.000005,0.000783,0.000175,1.000000
real,6.723000,-1.999975,-0.500000,0.008717,0.000011,0.000776,0.000176,1.000000
odom,6.757000,-1.968878,-0.503890,0.008719,0.000009,0.000776,0.000177,1.000000
estimator,1716592596.918056,-1.968491,-0.578943,0.008512,0.000008,0.000782,0.000176,1.000000
real,6.757000,-1.999975,-0.500000,0.008719,0.000009,0.000776,0.000177,1.000000
odom,6.791000,-1.939945,-0.442144,0.008719,0.000007,0.000778,0.000178,1.000000
estimator,1716592596.965297,1.247889,2.669765,0.003556,-0.000075,0.000777,-0.100846,0.994902
real,6.791000,-1.999975,-0.500000,0.008719,0.000007,0.000778,0.000178,1.000000
odom,6.825000,-1.902634,-0.433811,0.008721,0.000009,0.000778,0.000179,1.000000
estimator,1716592596.986495,-1.954258,-0.473262,0.008490,0.000005,0.000782,0.000217,1.000000
real,6.825000,-1.999975,-0.500000,0.008721,0.000009,0.000778,0.000179,1.000000
odom,6.859000,-1.952589,-0.535318,0.008727,0.000010,0.000778,0.000180,1.000000
estimator,1716592597.020747,-1.902635,-0.433811,0.008470,0.000007,0.000783,0.000179,1.000000
real,6.859000,-1.999975,-0.500000,0.008727,0.000010,0.000778,0.000180,1.000000
odom,6.893000,-2.014046,-0.564195,0.008726,0.000011,0.000778,0.000181,1.000000
estimator,1716592597.054720,-1.952589,-0.535318,0.008477,0.000008,0.000782,0.000180,1.000000
real,6.893000,-1.999975,-0.500000,0.008726,0.000011,0.000778,0.000181,1.000000
