type,t,x,y,z,qx,qy,qz,qw
real,512.525000,-1.999213,-0.499990,0.008722,0.000001,0.000778,0.014504,0.999895
odom,512.559000,-2.041034,-0.442066,0.008724,-0.000003,0.000778,0.014505,0.999894
estimator,1716796015.857573,-2.080334,-0.438646,0.008079,0.000009,0.000782,0.014504,0.999895
real,512.559000,-1.999213,-0.499990,0.008724,-0.000003,0.000778,0.014505,0.999894
odom,512.593000,-2.077304,-0.457093,0.008725,-0.000003,0.000778,0.014506,0.999894
estimator,1716796015.892616,-2.059332,-0.447806,0.008109,0.000005,0.000782,0.014292,0.999898
real,512.593000,-1.999212,-0.499990,0.008725,-0.000003,0.000778,0.014506,0.999894
odom,512.627000,-1.986469,-0.402263,0.008728,-0.000001,0.000777,0.014507,0.999894
estimator,1716796015.926194,-2.059007,-0.451375,0.008108,0.000005,0.000782,0.014685,0.999892
real,512.627000,-1.999212,-0.499990,0.008728,-0.000001,0.000777,0.014507,0.999894
odom,512.661000,-1.818087,-0.432244,0.008717,-0.000001,0.000776,0.014508,0.999894
estimator,1716796015.959908,-1.986470,-0.402263,0.008140,0.000006,0.000782,0.014507,0.999894
real,512.661000,-1.999212,-0.499990,0.008717,-0.000001,0.000776,0.014508,0.999894
odom,512.695000,-1.879561,-0.492636,0.008716,-0.000001,0.000776,0.014509,0.999894
estimator,1716796015.994780,-1.818088,-0.432244,0.008128,0.000007,0.000780,0.014508,0.999894
real,512.695000,-1.999212,-0.499990,0.008716,-0.000001,0.000776,0.014509,0.999894
odom,512.729000,-1.990725,-0.433621,0.008725,-0.000003,0.000778,0.014510,0.999894
estimator,1716796016.028102,-1.879562,-0.492636,0.008126,0.000006,0.000781,0.014509,0.999894
real,512.729000,-1.999212,-0.499990,0.008725,-0.000003,0.000778,0.014510,0.999894
odom,512.763000,-2.062916,-0.490383,0.008726,-0.000004,0.000779,0.014511,0.999894
estimator,1716796016.061619,-1.990726,-0.433621,0.008137,0.000005,0.000783,0.014510,0.999894
real,512.763000,-1.999212,-0.499990,0.008726,-0.000004,0.000779,0.014511,0.999894
odom,512.797000,-1.944211,-0.466197,0.008725,-0.000003,0.000777,0.014512,0.999894
estimator,1716796016.100233,-2.003779,-0.478213,0.008045,0.000004,0.000783,0.014477,0.999895
real,512.797000,-1.999212,-0.499990,0.008725,-0.000003,0.000777,0.014512,0.999894
