type,t,x,y,z,qx,qy,qz,qw
estimator,1716641582.697757,-1.820706,-0.471227,0.009147,0.000003,0.000782,0.000300,1.000000
real,11.250000,-1.999968,-0.500000,0.008721,0.000010,0.000778,0.000301,1.000000
odom,11.284000,-1.973857,-0.439349,0.008724,0.000006,0.000777,0.000302,1.000000
estimator,1716641582.731325,-1.860005,-0.403944,0.009143,0.000002,0.000780,0.000301,1.000000
real,11.284000,-1.999968,-0.500000,0.008724,0.000006,0.000777,0.000302,1.000000
odom,11.318000,-1.770533,-0.408293,0.008726,0.000007,0.000779,0.000303,1.000000
estimator,1716641582.764594,-1.973857,-0.439349,0.009146,-0.000002,0.000780,0.000302,1.000000
real,11.318000,-1.999968,-0.500000,0.008726,0.000007,0.000779,0.000303,1.000000
odom,11.352000,-2.016574,-0.432756,0.008728,0.000011,0.000779,0.000303,1.000000
estimator,1716641582.799197,-1.770532,-0.408293,0.009147,-0.000001,0.000781,0.000303,1.000000
real,11.352000,-1.999968,-0.500000,0.008728,0.000011,0.000779,0.000303,1.000000
odom,11.386000,-2.152138,-0.486589,0.008722,0.000012,0.000777,0.000304,1.000000
estimator,1716641582.834556,-2.084434,-0.459417,0.009256,0.000004,0.000782,0.000280,1.000000
real,11.386000,-1.999968,-0.500000,0.008722,0.000012,0.000777,0.000304,1.000000
odom,11.420000,-1.886059,-0.434035,0.008717,0.000008,0.000776,0.000305,1.000000
estimator,1716641582.868422,-2.084277,-0.459932,0.009256,0.000004,0.000782,0.000308,1.000000
real,11.420000,-1.999968,-0.500000,0.008717,0.000008,0.000776,0.000305,1.000000
odom,11.454000,-1.958703,-0.477977,0.008717,0.000006,0.000775,0.000306,1.000000
estimator,1716641582.901645,-1.886058,-0.434035,0.009353,-0.000001,0.000781,0.000305,1.000000
real,11.454000,-1.999968,-0.500000,0.008717,0.000006,0.000775,0.000306,1.000000
odom,11.488000,-1.975398,-0.407176,0.008718,0.000008,0.000777,0.000307,1.000000
estimator,1716641582.935943,-1.958702,-0.477977,0.009355,-0.000003,0.000779,0.000306,1.000000
real,11.488000,-1.999968,-0.500000,0.008718,0.000008,0.000777,0.000307,1.000000
odom,11.522000,-1.923341,-0.473067,0.008723,0.000010,0.000779,0.000308,1.000000
estimator,1716641582.969805,-1.975397,-0.407176,0.009355,-0.000000,0.000782,0.000307,1.000000
real,11.522000,-1.999968,-0.500000,0.008723,0.000010,0.000779,0.000308,1.000000
odom,11.556000,-1.757958,-0.491125,0.008726,0.000011,0.000777,0.000309,1.000000
estimator,1716641583.004232,-1.923340,-0.473067,0.009361,0.000001,0.000783,0.000308,1.000000
real,11.556000,-1.999968,-0.500000,0.008726,0.000011,0.000777,0.000309,1.000000
odom,11.590000,-1.791161,-0.411101,0.008726,0.000007,0.000777,0.000310,1.000000
estimator,1716641583.038470,-1.774542,-0.451854,0.009388,0.000002,0.000782,0.000383,1.000000
real,11.590000,-1.999968,-0.500000,0.008726,0.000007,0.000777,0.000310,1.000000
odom,11.624000,-2.032825,-0.447745,0.008726,0.000008,0.000777,0.000311,1.000000
estimator,1716641583.072100,-1.774578,-0.450379,0.009388,0.000002,0.000782,0.000248,1.000000
real,11.624000,-1.999968,-0.500000,0.008726,0.000008,0.000777,0.000311,1.000000
odom,11.658000,-2.028691,-0.471452,0.008717,0.000010,0.000775,0.000312,1.000000
estimator,1716641583.106507,-2.032823,-0.447745,0.009416,0.000004,0.000782,0.000311,1.000000
real,11.658000,-1.999968,-0.500000,0.008717,0.000010,0.000775,0.000312,1.000000
odom,11.692000,-2.012256,-0.462955,0.008722,0.000010,0.000778,0.000313,1.000000
estimator,1716641583.139964,-2.028690,-0.471452,0.009408,0.000005,0.000780,0.000312,1.000000
real,11.692000,-1.999968,-0.500000,0.008722,0.000010,0.000778,0.000313,1.000000
odom,11.726000,-1.824721,-0.427303,0.008727,0.000010,0.000779,0.000314,1.000000
estimator,1716641583.173951,-2.012255,-0.462955,0.009413,0.000006,0.000783,0.000313,1.000000
real,11.726000,-1.999968,-0.500000,0.008727,0.000010,0.000779,0.000314,1.000000
odom,11.760000,-2.237329,-0.411901,0.008725,0.000008,0.000777,0.000315,1.000000
estimator,1716641583.207262,-1.824720,-0.427303,0.009415,0.000005,0.000784,0.000314,1.000000
real,11.760000,-1.999968,-0.500000,0.008725,0.000008,0.000777,0.000315,1.000000
odom,11.794000,-2.072870,-0.486515,0.008721,0.000008,0.000776,0.000316,1.000000
estimator,1716641583.241198,-2.154735,-0.450816,0.009288,0.000004,0.000782,0.000450,1.000000
real,11.794000,-1.999968,-0.500000,0.008721,0.000008,0.000776,0.000316,1.000000
odom,11.828000,-1.947217,-0.455070,0.008719,0.000008,0.000775,0.000317,1.000000
estimator,1716641583.275315,-2.155440,-0.447343,0.009289,0.000003,0.000782,0.000043,1.000000
real,11.828000,-1.999968,-0.500000,0.008719,0.000008,0.000775,0.000317,1.000000
odom,11.862000,-2.158174,-0.461238,0.008716,0.000008,0.000777,0.000318,1.000000
estimator,1716641583.309900,-1.947216,-0.455070,0.009156,0.000004,0.000781,0.000317,1.000000
real,11.862000,-1.999967,-0.500000,0.008716,0.000008,0.000777,0.000318,1.000000
odom,11.896000,-1.872241,-0.475164,0.008716,0.000008,0.000778,0.000318,1.000000
estimator,1716641583.343597,-2.158173,-0.461238,0.009155,0.000003,0.000783,0.000318,1.000000
real,11.896000,-1.999967,-0.500000,0.008716,0.000008,0.000778,0.000318,1.000000
odom,11.930000,-2.022666,-0.408853,0.008723,0.000008,0.000778,0.000319,1.000000
estimator,1716641583.377663,-1.872240,-0.475164,0.009152,0.000004,0.000784,0.000319,1.000000
real,11.930000,-1.999967,-0.500000,0.008723,0.000008,0.000778,0.000319,1.000000
odom,11.964000,-1.892453,-0.495062,0.008726,0.000009,0.000779,0.000320,1.000000
estimator,1716641583.411585,-2.022665,-0.408853,0.009160,0.000004,0.000784,0.000319,1.000000
real,11.964000,-1.999967,-0.500000,0.008726,0.000009,0.000779,0.000320,1.000000
odom,11.998000,-2.019406,-0.454887,0.008721,0.000011,0.000777,0.000321,1.000000
estimator,1716641583.446706,-1.955816,-0.474902,0.009262,0.000005,0.000785,0.000319,1.000000
real,11.998000,-1.999967,-0.500000,0.008721,0.000011,0.000777,0.000321,1.000000
odom,12.032000,-1.836826,-0.400675,0.008724,0.000007,0.000777,0.000322,1.000000
estimator,1716641583.480641,-1.956034,-0.475044,0.009263,0.000005,0.000785,0.000316,1.000000
real,12.032000,-1.999967,-0.500000,0.008724,0.000007,0.000777,0.000322,1.000000
odom,12.066000,-2.193142,-0.466460,0.008726,0.000004,0.000778,0.000323,1.000000
estimator,1716641583.514908,-1.836825,-0.400675,0.009362,0.000001,0.000785,0.000322,1.000000
real,12.066000,-1.999967,-0.500000,0.008726,0.000004,0.000778,0.000323,1.000000
odom,12.100000,-1.952172,-0.453312,0.008726,0.000008,0.000777,0.000324,1.000000
estimator,1716641583.548010,-2.193141,-0.466460,0.009370,-0.000002,0.000785,0.000323,1.000000
real,12.100000,-1.999967,-0.500000,0.008726,0.000008,0.000777,0.000324,1.000000
odom,12.134000,-1.948263,-0.422709,0.008717,0.000010,0.000776,0.000325,1.000000
estimator,1716641583.582564,-1.952171,-0.453312,0.009365,0.000002,0.000785,0.000324,1.000000
real,12.134000,-1.999967,-0.500000,0.008717,0.000010,0.000776,0.000325,1.000000
odom,12.168000,-1.901972,-0.467832,0.008717,0.000010,0.000777,0.000326,1.000000
estimator,1716641583.616326,-1.948262,-0.422709,0.009357,0.000005,0.000784,0.000325,1.000000
real,12.168000,-1.999967,-0.500000,0.008717,0.000010,0.000777,0.000326,1.000000
odom,12.202000,-1.922345,-0.450733,0.008727,0.000010,0.000779,0.000327,1.000000
estimator,1716641583.652404,-1.912376,-0.459546,0.009372,0.000004,0.000784,0.000358,1.000000
real,12.202000,-1.999967,-0.500000,0.008727,0.000010,0.000779,0.000327,1.000000
odom,12.236000,-2.002626,-0.450096,0.008725,0.000010,0.000778,0.000328,1.000000
estimator,1716641583.685804,-1.911932,-0.459019,0.009372,0.000004,0.000784,0.000300,1.000000
real,12.236000,-1.999967,-0.500000,0.008725,0.000010,0.000778,0.000328,1.000000
odom,12.270000,-1.887227,-0.458949,0.008721,0.000010,0.000777,0.000329,1.000000
estimator,1716641583.719392,-2.002625,-0.450096,0.009387,0.000004,0.000783,0.000328,1.000000
real,12.270000,-1.999967,-0.500000,0.008721,0.000010,0.000777,0.000329,1.000000
odom,12.304000,-2.114334,-0.495458,0.008721,0.000011,0.000777,0.000330,1.000000
estimator,1716641583.752767,-1.887225,-0.458949,0.009382,0.000004,0.000783,0.000329,1.000000
real,12.304000,-1.999967,-0.500000,0.008721,0.000011,0.000777,0.000330,1.000000
odom,12.338000,-2.012402,-0.455207,0.008718,0.000011,0.000776,0.000331,1.000000
estimator,1716641583.786786,-2.114333,-0.495458,0.009385,0.000005,0.000782,0.000330,1.000000
real,12.338000,-1.999967,-0.500000,0.008718,0.000011,0.000776,0.000331,1.000000
odom,12.372000,-2.118689,-0.468195,0.008718,0.000007,0.000777,0.000332,1.000000
estimator,1716641583.823809,-2.064112,-0.463782,0.009461,0.000005,0.000782,0.000629,0.999999
real,12.372000,-1.999967,-0.500000,0.008718,0.000007,0.000777,0.000332,1.000000
odom,12.406000,-2.062137,-0.465018,0.008723,0.000009,0.000778,0.000333,1.000000
estimator,1716641583.855630,-2.067003,-0.459716,0.009465,0.000005,0.000782,0.000149,1.000000
real,12.406000,-1.999967,-0.500000,0.008723,0.000009,0.000778,0.000333,1.000000
odom,12.440000,-1.898123,-0.473596,0.008728,0.000010,0.000778,0.000333,1.000000
estimator,1716641583.889205,-2.062135,-0.465018,0.009550,0.000006,0.000783,0.000333,1.000000
real,12.440000,-1.999967,-0.500000,0.008728,0.000010,0.000778,0.000333,1.000000
odom,12.474000,-2.103059,-0.453684,0.008725,0.000009,0.000777,0.000334,1.000000
estimator,1716641583.922810,-1.898122,-0.473596,0.009553,0.000007,0.000784,0.000333,1.000000
real,12.474000,-1.999967,-0.500000,0.008725,0.000009,0.000777,0.000334,1.000000
odom,12.508000,-1.845723,-0.456659,0.008724,0.000008,0.000778,0.000335,1.000000
estimator,1716641583.957587,-2.103058,-0.453684,0.009553,0.000007,0.000782,0.000334,1.000000
real,12.508000,-1.999966,-0.500000,0.008724,0.000008,0.000778,0.000335,1.000000
odom,12.542000,-2.059591,-0.445611,0.008732,0.000008,0.000730,0.000336,1.000000
estimator,1716641583.991178,-1.845722,-0.456659,0.009549,0.000006,0.000783,0.000335,1.000000
real,12.542000,-1.998811,-0.499999,0.008732,0.000008,0.000730,0.000336,1.000000
odom,12.576000,-1.969605,-0.461328,0.008744,0.000004,0.000725,0.000336,1.000000
estimator,1716641584.025912,-2.014745,-0.454565,0.009493,0.000005,0.000735,0.000428,1.000000
real,12.576000,-1.996500,-0.499998,0.008744,0.000004,0.000725,0.000336,1.000000
odom,12.610000,-1.950886,-0.484119,0.008732,0.000005,0.000741,0.000337,1.000000
estimator,1716641584.059273,-2.014435,-0.452356,0.009493,0.000005,0.000735,0.000194,1.000000
real,12.610000,-1.993031,-0.499996,0.008732,0.000005,0.000741,0.000337,1.000000
odom,12.644000,-1.845066,-0.434300,0.008716,-0.000002,0.000781,0.002717,0.999996
estimator,1716641584.093419,-1.950885,-0.484119,0.009413,0.000006,0.000752,0.000337,1.000000
real,12.644000,-1.989109,-0.499984,0.008716,-0.000002,0.000781,0.002717,0.999996
odom,12.678000,-2.008648,-0.439288,0.008717,-0.000007,0.000792,0.008449,0.999964
estimator,1716641584.126849,-1.845065,-0.434300,0.009395,-0.000001,0.000791,0.002717,0.999996
real,12.678000,-1.985015,-0.499940,0.008717,-0.000007,0.000792,0.008449,0.999964
odom,12.712000,-2.018507,-0.440123,0.008732,-0.000001,0.000757,0.016198,0.999869
estimator,1716641584.160854,-2.008647,-0.439288,0.009399,-0.000005,0.000802,0.008449,0.999964
real,12.712000,-1.980351,-0.499827,0.008732,-0.000001,0.000757,0.016198,0.999869
odom,12.746000,-2.024296,-0.492663,0.008728,-0.000011,0.000766,0.027938,0.999609
estimator,1716641584.196140,-2.018506,-0.440123,0.009415,0.000000,0.000768,0.016198,0.999869
real,12.746000,-1.975706,-0.499625,0.008728,-0.000011,0.000766,0.027938,0.999609
odom,12.780000,-2.007280,-0.456628,0.008716,-0.000025,0.000787,0.043682,0.999045
estimator,1716641584.234243,-2.016605,-0.484014,0.009398,-0.000006,0.000777,0.031832,0.999493
