type,t,x,y,z,qx,qy,qz,qw
odom,4.522000,-2.033478,-0.577562,0.008728,0.000011,0.000779,0.000121,1.000000
estimator,1716590959.760157,-1.970473,-0.488711,0.009039,0.000012,0.000777,0.000120,1.000000
real,4.522000,-1.999978,-0.500000,0.008728,0.000011,0.000779,0.000121,1.000000
odom,4.556000,-1.987346,-0.406979,0.008727,0.000007,0.000778,0.000122,1.000000
estimator,1716590959.794432,-2.033478,-0.577562,0.009049,0.000013,0.000778,0.000121,1.000000
real,4.556000,-1.999978,-0.500000,0.008727,0.000007,0.000778,0.000122,1.000000
odom,4.590000,-2.095727,-0.452767,0.008725,0.000007,0.000777,0.000123,1.000000
estimator,1716590959.837005,-1.985144,-0.346212,0.009025,-0.000017,0.000778,-0.034061,0.999419
real,4.590000,-1.999978,-0.500000,0.008725,0.000007,0.000777,0.000123,1.000000
odom,4.624000,-1.987416,-0.534624,0.008721,0.000008,0.000776,0.000124,1.000000
estimator,1716590959.863723,-2.041140,-0.430977,0.009132,0.000009,0.000778,0.000202,1.000000
real,4.624000,-1.999978,-0.500000,0.008721,0.000008,0.000776,0.000124,1.000000
odom,4.658000,-1.983718,-0.528776,0.008719,0.000009,0.000776,0.000124,1.000000
estimator,1716590959.897276,-1.987415,-0.534624,0.009212,0.000010,0.000777,0.000124,1.000000
real,4.658000,-1.999978,-0.500000,0.008719,0.000009,0.000776,0.000124,1.000000
odom,4.692000,-2.038778,-0.408825,0.008719,0.000011,0.000777,0.000125,1.000000
estimator,1716590959.930853,-1.983717,-0.528776,0.009210,0.000012,0.000776,0.000124,1.000000
real,4.692000,-1.999978,-0.500000,0.008719,0.000011,0.000777,0.000125,1.000000
odom,4.726000,-1.933381,-0.402038,0.008727,0.000010,0.000778,0.000126,1.000000
estimator,1716590959.964591,-2.038777,-0.408825,0.009210,0.000013,0.000777,0.000125,1.000000
real,4.726000,-1.999978,-0.500000,0.008727,0.000010,0.000778,0.000126,1.000000
odom,4.760000,-2.092574,-0.439914,0.008726,0.000010,0.000778,0.000127,1.000000
estimator,1716590959.998147,-1.933380,-0.402038,0.009219,0.000013,0.000779,0.000126,1.000000
real,4.760000,-1.999978,-0.500000,0.008726,0.000010,0.000778,0.000127,1.000000
odom,4.794000,-1.991643,-0.494231,0.008723,0.000009,0.000776,0.000128,1.000000
estimator,1716590960.039477,-4.018190,-8.947747,0.011955,0.000035,0.000781,0.025520,0.999674
real,4.794000,-1.999978,-0.500000,0.008723,0.000009,0.000776,0.000128,1.000000
odom,4.828000,-1.964864,-0.409882,0.008717,0.000010,0.000776,0.000129,1.000000
estimator,1716590960.066731,-2.042048,-0.467775,0.009138,0.000012,0.000778,0.000205,1.000000
real,4.828000,-1.999978,-0.500000,0.008717,0.000010,0.000776,0.000129,1.000000
