x,y,z,rot_x,rot_y,rot_z
0.000229,-0.000591,0.000000,0.000000,-0.000000,0.000005
0.002012,0.000159,0.000000,0.000000,-0.000000,0.000170
-0.000779,-0.000092,0.000000,0.000000,-0.000000,-0.000069
-0.001215,0.000868,0.000000,0.000000,-0.000000,-0.000085
0.001539,-0.000700,0.000000,0.000000,-0.000000,0.000057
0.000557,-0.001177,0.000000,0.000000,-0.000000,-0.000002
-0.000872,0.000697,0.000000,0.000000,-0.000000,-0.000064
0.001420,0.000202,0.000000,0.000000,-0.000000,0.000094
-0.000658,0.000388,0.000000,0.000000,-0.000000,-0.000061
0.001085,0.000141,0.000000,0.000000,-0.000000,0.000062
0.000890,-0.000060,0.000000,0.000000,-0.000000,0.000106
-0.000818,0.000787,0.000000,0.000000,-0.000000,0.000000
0.000451,-0.000317,0.000000,0.000000,-0.000000,0.000017
-0.000378,0.000151,0.000000,0.000000,-0.000000,-0.000071
0.001578,0.000835,0.000000,0.000000,-0.000000,0.000153
-0.000302,0.000851,0.000000,0.000000,-0.000000,0.000051
0.000316,-0.000088,0.000000,0.000000,-0.000000,0.000056
-0.000291,0.000188,0.000000,0.000000,-0.000000,-0.000073
0.000524,-0.000012,0.000000,0.000000,-0.000000,0.000047
-0.001147,-0.000251,0.000000,0.000000,-0.000000,-0.000105
-0.000159,0.000006,0.000000,0.000000,-0.000000,0.000004
0.000184,-0.000650,0.000000,0.000000,-0.000000,0.000016
0.000748,0.000523,0.000000,0.000000,-0.000000,0.000043
-0.000398,0.000682,0.000000,0.000000,-0.000000,-0.000028
-0.000141,-0.001658,0.000000,0.000000,-0.000000,-0.000042
-0.000467,0.000456,0.000000,0.000000,-0.000000,0.000015
-0.000547,0.000681,0.000000,0.000000,-0.000000,-0.000033
0.000858,-0.000653,0.000000,0.000000,-0.000000,0.000049
-0.000120,-0.000513,0.000000,0.000000,-0.000000,-0.000027
0.000450,0.000027,0.000000,0.000000,-0.000000,0.000049
-0.000196,-0.000597,0.000000,0.000000,-0.000000,-0.000027
0.000078,0.000570,0.000000,0.000000,-0.000000,0.000004
-0.000789,0.000054,0.000000,0.000000,-0.000000,0.000006
0.000484,-0.000475,0.000000,0.000000,-0.000000,0.000041
-0.000744,0.001055,0.000000,0.000000,-0.000000,-0.000053
0.000259,-0.000503,0.000000,0.000000,-0.000000,-0.000000
0.000630,-0.000348,0.000000,0.000000,-0.000000,0.000040
-0.000065,-0.001005,0.000000,0.000000,-0.000000,-0.000012
-0.001076,0.000094,0.000000,0.000000,-0.000000,-0.000072
0.001258,-0.000018,0.000000,0.000000,-0.000000,0.000074
0.000559,0.000305,0.000000,0.000000,-0.000000,0.000060
-0.000909,0.000251,0.000000,0.000000,-0.000000,-0.000064
-0.001176,0.000293,0.000000,0.000000,-0.000000,-0.000033
-0.000316,-0.000357,0.000000,0.000000,-0.000000,0.000018
0.000010,0.000436,0.000000,0.000000,-0.000000,0.000006
-0.000546,-0.000720,0.000000,0.000000,-0.000000,-0.000083
0.000524,0.000856,0.000000,0.000000,-0.000000,0.000120
-0.001428,-0.000134,0.000000,0.000000,-0.000000,-0.000107
-0.000440,0.000026,0.000000,0.000000,-0.000000,-0.000013
0.000243,-0.000247,0.000000,0.000000,-0.000000,-0.000048
-0.000376,0.000605,0.000000,0.000000,-0.000000,0.000028
0.000761,-0.000224,0.000000,0.000000,-0.000000,0.000058
0.000092,-0.000654,0.000000,0.000000,-0.000000,-0.000035
-0.000200,0.000089,0.000000,0.000000,-0.000000,-0.000028
-0.000144,0.000395,0.000000,0.000000,-0.000000,-0.000023
-0.000662,-0.000271,0.000000,0.000000,-0.000000,-0.000043
-0.000141,-0.000761,0.000000,0.000000,-0.000000,-0.000045
0.000090,0.000445,0.000000,0.000000,-0.000000,0.000025
0.000195,-0.000630,0.000000,0.000000,-0.000000,-0.000051
-0.000658,0.000248,0.000000,0.000000,-0.000000,-0.000064
0.000898,0.000132,0.000000,0.000000,-0.000000,0.000049
0.000688,-0.001187,0.000000,0.000000,-0.000000,-0.000002
0.000887,0.000851,0.000000,0.000000,-0.000000,0.000090
0.000809,-0.000104,0.000000,0.000000,-0.000000,0.000045
0.000334,0.000110,0.000000,0.000000,-0.000000,0.000037
-0.000078,0.000559,0.000000,0.000000,-0.000000,-0.000010
-0.000846,-0.000735,0.000000,0.000000,-0.000000,-0.000108
-0.000077,-0.000702,0.000000,0.000000,-0.000000,-0.000008
0.000066,0.000153,0.000000,0.000000,-0.000000,0.000018
-0.000157,0.000658,0.000000,0.000000,-0.000000,-0.000002
0.001113,0.000054,0.000000,0.000000,-0.000000,0.000095
0.000332,0.001149,0.000000,0.000000,-0.000000,0.000054
-0.000688,-0.000409,0.000000,0.000000,-0.000000,-0.000080
0.000351,0.000106,0.000000,0.000000,-0.000000,0.000028
0.000376,-0.001456,0.000000,0.000000,-0.000000,-0.000030
0.000111,-0.000327,0.000000,0.000000,-0.000000,0.000005
-0.000442,0.000419,0.000000,0.000000,-0.000000,-0.000056
0.000607,-0.000288,0.000000,0.000000,-0.000000,0.000045
-0.000499,-0.000073,0.000000,0.000000,-0.000000,-0.000044
0.001631,0.000760,0.000000,0.000000,-0.000000,0.000149
